Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
motorola-rva50,Motorola RVA50,"<p>Comercios minoristas, restaurantes, hoteles y pequeñas empresas que requieren una comunicación sencilla, directa y muy resistente para el trabajo diario.</p><ul><li>Tecnología: Análogo</li><li>Capacidad: 8 canales (UHF/VHF)</li><li>Potencia: 2W de transmisión</li><li>Resistencia: IP55</li><li>Garantía: 1 año</li></ul>",Motorola,Radio semiprofesional,"UHF/VHF, Análogo, Semiprofesional",TRUE,Title,Default Title,OMNI-SEMI-01,10,deny,manual,175.00,TRUE,TRUE,active
motorola-mototrbo-dep250,Motorola MOTOTRBO DEP250e,"<p>Manufactura, logística y centros educativos que buscan un radio profesional confiable y económico, con la posibilidad de migrar a digital más adelante.</p><ul><li>Tecnología: Análogo</li><li>Capacidad: 16 canales (UHF/VHF)</li><li>Resistencia: IP54</li><li>Garantía: 2 años</li></ul>",Motorola,Radio semiprofesional,"UHF/VHF, Análogo, Semiprofesional",TRUE,Title,Default Title,OMNI-SEMI-02,10,deny,manual,205.00,TRUE,TRUE,active
motorola-mototrbo-dep250e,Motorola MOTOTRBO DEP250e,"<p>Manufactura, logística y centros educativos que buscan una transición fácil a la tecnología digital para obtener un audio más claro y mayor cobertura.</p><ul><li>Tecnología: Digital-DMR / Análogo</li><li>Capacidad: 16 canales (UHF/VHF)</li><li>Resistencia: IP54</li><li>Garantía: 2 años</li></ul>",Motorola,Radio semiprofesional,"UHF/VHF, Digital DMR, Semiprofesional, Más vendido",TRUE,Title,Default Title,OMNI-SEMI-04,10,deny,manual,255.00,TRUE,TRUE,active
kenwood-tk2000-tk3000,Kenwood TK2000 / TK3000,"<p>Organización de eventos, comercio y áreas de servicio al cliente que necesitan un equipo discreto, delgado, ligero y muy fácil de operar.</p><ul><li>Tecnología: Análogo</li><li>Capacidad: 16 canales (TK3000 UHF / TK2000 VHF)</li><li>Diseño: Ergonómico, ultradelgado</li><li>Garantía: 1 año</li></ul>",Kenwood,Radio semiprofesional,"UHF/VHF, Análogo, Semiprofesional",TRUE,Title,Default Title,OMNI-SEMI-03,10,deny,manual,155.00,TRUE,TRUE,active
motorola-r2,Motorola R2,"<p>Industria pesada, construcción, minería y operaciones a gran escala que demandan equipos ultrarresistentes, confiables y de máxima durabilidad en campo.</p><ul><li>Tecnología: Digital-DMR / Análogo</li><li>Capacidad: 64 canales (UHF/VHF)</li><li>Resistencia: IP55</li><li>Garantía: 2 años</li></ul>",Motorola,Radio profesional,"UHF/VHF, Digital DMR, Profesional, Más vendido",TRUE,Title,Default Title,OMNI-PRO-01,10,deny,manual,375.00,TRUE,TRUE,active
kenwood-nx1200dk-nx1300dk,Kenwood NX1200DK / NX1300DK,"<p>Seguridad privada, flotas de transporte y plantas industriales complejas que requieren una alta capacidad de canales y funciones digitales avanzadas.</p><ul><li>Tecnología: Digital-DMR / Análogo</li><li>Capacidad: 260 canales (NX1200DK VHF / NX1300DK UHF)</li><li>Garantía: 2 años</li></ul>",Kenwood,Radio profesional,"UHF/VHF, Digital DMR, Profesional",TRUE,Title,Default Title,OMNI-PRO-02,10,deny,manual,265.00,TRUE,TRUE,active
ruggear-rg190,RugGear RG190,"<p>Flotas de transporte, despachadores y trabajadores móviles que necesitan cobertura a nivel nacional o internacional, manteniendo la sensación de un radio tradicional.</p><ul><li>Conectividad: 4G LTE + WiFi, Bluetooth, GPS/A-GPS</li><li>Audio: Altavoz frontal 2W + PTT lateral</li><li>Almacenamiento: 1GB interno</li><li>Garantía: 2 años</li></ul>",RugGear,Equipo POC,"POC, 4G LTE",TRUE,Title,Default Title,OMNI-POC-01,10,deny,manual,275.00,TRUE,TRUE,active
ruggear-rg360,RugGear RG360,"<p>Supervisores, logística y operaciones en campo que requieren un dispositivo inteligente, resistente y con pantalla táctil para gestionar aplicaciones corporativas.</p><ul><li>Pantalla: Táctil 3.0"" · Android 10 Go</li><li>Batería: 3000 mAh extraíble</li><li>Resistencia: IP68 + MIL-STD-810H</li><li>Garantía: 2 años</li></ul>",RugGear,Equipo POC,"POC, 4G LTE, Más vendido",TRUE,Title,Default Title,OMNI-POC-02,10,deny,manual,310.00,TRUE,TRUE,active
motorola-tlk110,Motorola TLK110,"<p>Corporaciones a nivel nacional, transporte de valores y equipos de seguridad crítica que priorizan funciones de emergencia avanzadas y audio perfecto mediante IA.</p><ul><li>Conectividad: 3G/4G LTE + WiFi, sin límite de distancia</li><li>Audio: Supresión de ruido por IA</li><li>Seguridad: Botón de emergencia, hombre caído</li><li>Resistencia: IP67 + MIL-STD-810H · 18h batería</li><li>Garantía: 2 años</li><li>Incluye: Licencia WAVE PTX incluida</li></ul>",Motorola,Equipo POC,"POC, WAVE PTX",TRUE,Title,Default Title,OMNI-POC-03,10,deny,manual,515.00,TRUE,TRUE,active
ruggear-rg725,RugGear RG725,"<p>Personal de campo que necesita un smartphone robusto tipo radio, con cámara y apps corporativas además de push-to-talk.</p><ul><li>Pantalla: 4.0"" HD 640x1136 px</li><li>Batería: 5000 mAh</li><li>Conectividad: 4G LTE + WiFi + Bluetooth + GPS/A-GPS/Glonass</li><li>Cámara: 13 MP</li><li>Sistema: Android 10</li><li>Garantía: 2 años</li><li>Incluye: Licencia internacional de red PTT — 1 año incluido</li></ul>",RugGear,Equipo POC,"POC, 4G LTE",TRUE,Title,Default Title,OMNI-POC-04,10,deny,manual,495.00,TRUE,TRUE,active
ruggear-rg750,RugGear RG750,"<p>Operaciones críticas y equipos de emergencia que requieren el equipo POC más avanzado de la línea RugGear, con mayor procesador y resistencia IP68.</p><ul><li>Pantalla: 4.0"" IPS 1136x640 px</li><li>Batería: 5000 mAh removible</li><li>Resistencia: IP68 + MIL-STD-810</li><li>Cámara: 13 MP</li><li>Procesador: Qualcomm QCM4290 octa-core</li><li>Sistema: Android 12</li><li>Garantía: 2 años</li><li>Incluye: Licencia internacional de red PTT — 1 año incluido</li></ul>",RugGear,Equipo POC,"POC, 4G LTE",TRUE,Title,Default Title,OMNI-POC-05,10,deny,manual,785.00,TRUE,TRUE,active
ruggear-rg230,RugGear RG230,"<p>Centrales de despacho, flotas y vehículos que necesitan una base fija o móvil con parlante potente para operar como estación de PTT.</p><ul><li>Tipo: Base / vehicular (requiere alimentación 12V o fuente)</li><li>Pantalla: Táctil 3.5""</li><li>Audio: Altavoz 4W · 105 dB</li><li>Conectividad: 4G LTE + WiFi + GPS multi-constelación</li><li>Sistema: RG-OS 11 (Android Go)</li><li>Garantía: 2 años</li><li>Incluye: Licencia internacional de red PTT — 1 año incluido</li></ul>",RugGear,Equipo POC,"POC, 4G LTE, Base",TRUE,Title,Default Title,OMNI-POC-06,10,deny,manual,695.00,TRUE,TRUE,active
txpro-tx320-par,TXPRO TX-320 (el par),"<p>Uso ocasional en casa, comercio pequeño o eventos familiares donde basta con un radio sencillo para mantenerse en contacto a corta distancia.</p><ul><li>Tecnología: Análogo</li><li>Potencia: 2 W</li><li>Capacidad: 16 canales UHF 400-470 MHz</li><li>Alcance real: 300-500 m ciudad, hasta 800 m campo abierto</li><li>Garantía: 3 meses</li></ul>",TXPRO,Radio doméstica,"UHF, Análogo, Doméstica",TRUE,Title,Default Title,OMNI-DOM-01,10,deny,manual,105.00,TRUE,TRUE,active
txpro-tx600,TXPRO TX-600,"<p>Comercios y locales pequeños que necesitan un radio individual económico, con protección de la conversación frente a otros radios.</p><ul><li>Tecnología: Análogo</li><li>Potencia: 5 W</li><li>Seguridad: Scrambler de voz</li><li>Capacidad: 16 canales UHF 400-470 MHz</li><li>Garantía: 6 meses</li></ul>",TXPRO,Radio doméstica,"UHF, Análogo, Doméstica, Más vendido",TRUE,Title,Default Title,OMNI-DOM-02,10,deny,manual,100.00,TRUE,TRUE,active
txpro-tx680,TXPRO TX-680,"<p>Quienes ya piensan en digital pero quieren empezar con un equipo doméstico: migra a DMR sin perder compatibilidad con radios análogos.</p><ul><li>Tecnología: Digital-DMR / Análogo</li><li>Potencia: 5 W</li><li>Capacidad: 16 canales (UHF 400-512 MHz o VHF 136-176 MHz)</li><li>Modo directo: doble slot</li><li>Garantía: 6 meses</li></ul>",TXPRO,Radio doméstica,"UHF/VHF, Digital DMR, Doméstica",TRUE,Title,Default Title,OMNI-DOM-03,10,deny,manual,140.00,TRUE,TRUE,active
icom-ic-f200,Icom IC-F200,"<p>Quienes buscan la calidad de fábrica japonesa Icom en un radio compacto, a un precio accesible dentro de la línea doméstica.</p><ul><li>Marca: Icom (Japón)</li><li>Potencia: 2 W</li><li>Capacidad: 16 canales UHF 450-470 MHz</li><li>Resistencia: IP54 + MIL-STD-810</li><li>Batería: Li-ion 2350 mAh, hasta 15 h</li><li>Garantía: 2 años (fábrica Icom)</li></ul>",Icom,Radio doméstica,"UHF, Análogo, Doméstica, Japón",TRUE,Title,Default Title,OMNI-DOM-04,10,deny,manual,135.00,TRUE,TRUE,active
motorola-talkabout-t470,Motorola Talkabout T470,"<p>Familias, paseos, fincas y eventos informales. Es un radio de uso personal, no de frecuencia matriculada como el resto del catálogo.</p><ul><li>Uso: Personal/doméstico, no requiere matrícula ARCOTEL</li><li>Alcance real: 0,3 a 3 km según terreno</li><li>Resistencia: IPX4</li><li>Batería: hasta 12 h recargable, 28 h con pilas AA</li><li>Capacidad: 22 canales FRS/GMRS</li><li>Garantía: 1 año</li></ul>",Motorola,Radio doméstica,"FRS/GMRS, Doméstica, Uso personal",TRUE,Title,Default Title,OMNI-DOM-05,10,deny,manual,130.00,TRUE,TRUE,active
